"DC_TITLE","DC_PUBLISHER","DC_IDENTIFIER","DC_SOURCE","DC_LANGUAGE","DC_RELATION","DTB_REVISION","LB_DURATION","LB_MESSAGE_FORMAT","LB_TARGET_AUDIENCE","LB_DATE_RECORDED","LB_KEYWORDS","LB_TIMING","LB_PRIMARY_SPEAKER","LB_GOAL","LB_ENGLISH_TRANSCRIPTION","LB_NOTES","LB_BENEFICIARY","LB_STATUS","CATEGORIES","QUALITY","PROJECT"
"LAND PREPARATION FOR SOYBEANS PRODUCTION","","LB-2_rgpwa8k04a_38","MEDA","dga","","7","735","Interview","","","","","Livinus Balog-Meda","","https://www.dropbox.com/s/ua6tmgp1vnjzw1b/LAND%20PREPARATION%20FOR%20SOYBEANS%20PRODUCTION.docx?dl=0","","","","Crops, Soybeans, Agriculture","l","MEDA"
"Land preparation of soyabean production","","LB-2_rgpwa8k04a_39","MEDA","ssl","","5","591","Interview","","","","","Benjamin-Pruda","","","","","","Crops, Soybeans, Agriculture","l","MEDA"
"Timing For Sowing, Planting Techniques, Obtaining Quality Soya Seeds and Germination Tests","","LB-2_rgpwa8k04a_3a","MEDA","ssl","","9","689","Interview","","","","","Benjamin-Pruda","","","","","","Crops, Soybeans, Agriculture","l","MEDA"
"TIMING FOR SOWING, PLANTING TECHIQUES,OBTAINING QUALITY SOYA SEEDS AND GERMINATION TESTS","","LB-2_rgpwa8k04a_3b","MEDA","dga","","8","897","Interview","","","","","Livinus Balog","","https://www.dropbox.com/s/scaijdungmk8jno/PLANTING%20AND%20SOWING%20OF%20SOYBEAN.docx?dl=0","","","","Crops, Soybeans, Agriculture","l","MEDA"
"Selection of Good land for soyabean production","","LB-2_rgpwa8k04a_3c","MEDA","ssl","","6","606","Interview","Farmers","","","","Benjamin_Pruda","","","","","","Crops, Soybeans, Agriculture","l","MEDA"
"SELECTION OF GOOD LAND FOR SOYA PRODUCTION","","LB-2_rgpwa8k04a_3d","MEDA","dga","","10","739","Interview","Farmers","","","","Livinus Balog-Meda","","https://www.dropbox.com/s/7sx32lr1vmt807e/SELECTION%20OF%20GOOD%20LAND%20FOR%20SOYBEAN%20PRODUCTION.docx?dl=0","","","","Crops, Soybeans, Agriculture","l","MEDA"
"Maket information","","LB-2_rgpwa8k04a_3e","MEDA","ssl","","8","2021","Interview","","","","","Rashida-Pruda","","","","","","Value Chain, Business","l","MEDA"
"MARKET INFORMATION","","LB-2_rgpwa8k04a_3f","MEDA","dga","","8","440","Interview","","","","","Fidelis-LBG","","","","","","Value Chain, Business","l","MEDA"
"Develop Habit of Selling in Bulk","","LB-2_rgpwa8k04a_3g","MEDA","ssl","","6","1022","Interview","Farmers","","","","Rashida-Meda","","","","","","Value Chain, Business","l","MEDA"
"DEVELOPE A HABIT OF SELLING IN BULK","","LB-2_rgpwa8k04a_3h","MEDA","dga","","11","963","Interview","","","","","Fidelis-LBG","","","","","","Value Chain, Business","l","MEDA"
"Culture and Traditional Values","","LB-2_rgpwa8k04a_3i","LBG","ssl","","5","353","Lecture","","","","","Juliana Suglo-MEDA","","","","","","Society and Culture, Gender","l","MEDA"
"CULTURE AND TRADTIONAL VALUES","","LB-2_rgpwa8k04a_3j","LBG","dga","","5","755","Lecture","","","","","Fidelis-LBG","","","","","","Society and Culture, Gender","l","MEDA"
"Decision making in the Community","","LB-2_rgpwa8k04a_3k","LBG","ssl","","8","252","Drama","","","","","Piina Sec Drama Club","","","","","","Society and Culture, Gender","l","MEDA"
"Decision making in the household","","LB-2_rgpwa8k04a_3l","LBG","ssl","","5","252","Drama","","","","","Piina Sec Drama Club","","","","","","Society and Culture, Gender","l","MEDA"
"DECISION-MAKING IN THE COMMUNITY","","LB-2_rgpwa8k04a_3m","LBG","dga","","5","412","Drama","","","","","Vinving Drama Group","","","","","","Society and Culture, Gender","l","MEDA"
"DECISION-MAKING IN THE HOUSEHOLD","","LB-2_rgpwa8k04a_3n","LBG","dga","","5","302","Drama","","","","","Vingving Drama Club","","","","","","Society and Culture, Gender","l","MEDA"
"GENDER ROLES","","LB-2_rgpwa8k04a_3o","LBG","dga","","5","390","Drama","","","","","Vingving Drama Group","","","","","","Society and Culture, Gender","l","MEDA"
"Gender Roles","","LB-2_rgpwa8k04a_3p","LBG","ssl","","6","274","Drama","","","","","Piina Sec Drama Club","","","","","","Society and Culture, Gender","l","MEDA"
"Knowledge of Appropriae Financial Options","","LB-2_rgpwa8k04a_3q","MEDA","ssl","","8","663","Interview","","","","","Benjamin-Pruda","","","","","0","Financial Services, Business","l","MEDA"
"KNOWLEDGE OF APPROPRIATE FINANCIAL OPTIONS","","LB-2_rgpwa8k04a_3r","MEDA","dga","","8","977","Interview","","","","","Alex -Meda","","","","","","Financial Services, Business","l","MEDA"
"PRIOTIZATION OF FINANCING SOURCES","","LB-2_rgpwa8k04a_3s","MEDA","dga","","6","988","Interview","","","","","Alex-Meda","","","","","","Financial Services, Business","l","MEDA"
"Priotization of Financing Sources","","LB-2_rgpwa8k04a_3t","MEDA","ssl","","7","496","Interview","","","","","Benjamin-Pruda","","","","","0","Financial Services, Business","l","MEDA"
"Utilization of Credit","","LB-2_rgpwa8k04a_3u","MEDA","ssl","","5","354","Interview","","","","","Benjamin-Pruda","","","","","","Financial Services, Business","l","MEDA"
"Utilization of Credit2","","LB-2_rgpwa8k04a_3v","MEDA","ssl","","7","619","Interview","","","","","Benjamin-Pruda","","","","","","Financial Services, Business","l","MEDA"
"UTILIZATION OF CREDIT2","","LB-2_rgpwa8k04a_3w","MEDA","dga","","7","734","Interview","","","","","Clement-Sunzelle Rural Bank","","","","","","Financial Services, Business","l","MEDA"
"UTILIZATION OF CREDIT","","LB-2_rgpwa8k04a_3x","MEDA","dga","","6","977","Interview","","","","","Alex-Meda","","","","","","Financial Services, Business","l","MEDA"
"Amuna-Naawie","","LB-2_rgpwa8k04a_3y","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Chonang-Billaw","","LB-2_rgpwa8k04a_3z","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Daa-nye-Piina","","LB-2_rgpwa8k04a_40","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Doorna-Billaw","","LB-2_rgpwa8k04a_41","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Doorna-Lambussie","","LB-2_rgpwa8k04a_42","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Ekaweri-Samoa","","LB-2_rgpwa8k04a_43","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Enye-Koro","","LB-2_rgpwa8k04a_44","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Kaweri-Lambussie","","LB-2_rgpwa8k04a_45","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Naamwinsonti-Samoa","","LB-2_rgpwa8k04a_46","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"Neewere-Suke","","LB-2_rgpwa8k04a_47","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Nuor-ibeen-Bognuo","","LB-2_rgpwa8k04a_48","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Nyemmawero -Suke","","LB-2_rgpwa8k04a_4b","","ssl","","3","4","","","","","","","","","","","","Communities","l","MEDA"
"Nyog-nye-Zinkognuo","","LB-2_rgpwa8k04a_4c","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"Pedowomeh-Gbingbaala","","LB-2_rgpwa8k04a_4d","","ssl","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"Pog-be Sontaa-Piina No 1","","LB-2_rgpwa8k04a_4e","","dga","","2","5","","","","","","","","","","","","Communities","l","MEDA"
"Sontaa-Kokya","","LB-2_rgpwa8k04a_4f","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"Tieka-ire-Piina","","LB-2_rgpwa8k04a_4g","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"Tietaa Kokya","","LB-2_rgpwa8k04a_4h","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Tieti-Bognuo","","LB-2_rgpwa8k04a_4i","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Timi-enye-Samoa","","LB-2_rgpwa8k04a_4j","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Tonnuomeh-Naawie","","LB-2_rgpwa8k04a_4k","","ssl","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Torfellio-Suke","","LB-2_rgpwa8k04a_4l","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Wasifakata-Samoa","","LB-2_rgpwa8k04a_4m","","ssl","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"Wiisenilaramme-Samoa","","LB-2_rgpwa8k04a_4n","","ssl","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"Zaabelle-Lambussie","","LB-2_rgpwa8k04a_4o","","ssl","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"Aana-Naawie","","LB-2_rgpwa8k04a_4p","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Aana-Samoa","","LB-2_rgpwa8k04a_4q","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Achoratti-Lambussie","","LB-2_rgpwa8k04a_4r","","ssl","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"Akaweri-Suke","","LB-2_rgpwa8k04a_4s","","ssl","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"0","","LB-2_rgpwa8k04a_m","","ssl","","2","1","","","","","","","","","","","","TB System","l","MEDA"
"1","","LB-2_rgpwa8k04a_n","","ssl","","2","9","","","","","","","","","","","","TB System","l","MEDA"
"2","","LB-2_rgpwa8k04a_o","","ssl","","2","12","","","","","","","","","","","","TB System","l","MEDA"
"3","","LB-2_rgpwa8k04a_p","","ssl","","2","7","","","","","","","","","","","","TB System","l","MEDA"
"4","","LB-2_rgpwa8k04a_q","","ssl","","2","8","","","","","","","","","","","","TB System","l","MEDA"
"5","","LB-2_rgpwa8k04a_r","","ssl","","2","9","","","","","","","","","","","","TB System","l","MEDA"
"6","","LB-2_rgpwa8k04a_s","","ssl","","2","5","","","","","","","","","","","","TB System","l","MEDA"
"9","","LB-2_rgpwa8k04a_t","","ssl","","2","16","","","","","","","","","","","","TB System","l","MEDA"
"10","","LB-2_rgpwa8k04a_u","","ssl","","2","1","","","","","","","","","","","","TB System","l","MEDA"
"11","","LB-2_rgpwa8k04a_v","","ssl","","2","4","","","","","","","","","","","","TB System","l","MEDA"
"16","","LB-2_rgpwa8k04a_w","","ssl","","2","5","","","","","","","","","","","","TB System","l","MEDA"
"17","","LB-2_rgpwa8k04a_x","","ssl","","2","7","","","","","","","","","","","","TB System","l","MEDA"
"18","","LB-2_rgpwa8k04a_y","","ssl","","2","16","","","","","","","","","","","","TB System","l","MEDA"
"19","","LB-2_rgpwa8k04a_z","","ssl","","2","15","","","","","","","","","","","","TB System","l","MEDA"
"20","","LB-2_rgpwa8k04a_10","","ssl","","2","8","","","","","","","","","","","","TB System","l","MEDA"
"21","","LB-2_rgpwa8k04a_11","","ssl","","2","6","","","","","","","","","","","","TB System","l","MEDA"
"22","","LB-2_rgpwa8k04a_12","","ssl","","2","8","","","","","","","","","","","","TB System","l","MEDA"
"23","","LB-2_rgpwa8k04a_13","","ssl","","2","8","","","","","","","","","","","","TB System","l","MEDA"
"24","","LB-2_rgpwa8k04a_14","","ssl","","2","9","","","","","","","","","","","","TB System","l","MEDA"
"25","","LB-2_rgpwa8k04a_15","","ssl","","2","8","","","","","","","","","","","","TB System","l","MEDA"
"26","","LB-2_rgpwa8k04a_16","","ssl","","2","34","","","","","","","","","","","","TB System","l","MEDA"
"28","","LB-2_rgpwa8k04a_17","","ssl","","2","14","","","","","","","","","","","","TB System","l","MEDA"
"29","","LB-2_rgpwa8k04a_18","","ssl","","2","13","","","","","","","","","","","","TB System","l","MEDA"
"33","","LB-2_rgpwa8k04a_19","","ssl","","3","8","","","","","","","","","","","","TB System","l","MEDA"
"37","","LB-2_rgpwa8k04a_1a","","ssl","","2","2","","","","","","","","","","","","TB System","l","MEDA"
"38","","LB-2_rgpwa8k04a_1b","","ssl","","2","2","","","","","","","","","","","","TB System","l","MEDA"
"41","","LB-2_rgpwa8k04a_1c","","ssl","","2","7","","","","","","","","","","","","TB System","l","MEDA"
"53","","LB-2_rgpwa8k04a_1d","","ssl","","2","7","","","","","","","","","","","","TB System","l","MEDA"
"54","","LB-2_rgpwa8k04a_1e","","ssl","","2","7","","","","","","","","","","","","TB System","l","MEDA"
"61","","LB-2_rgpwa8k04a_1f","","ssl","","2","7","","","","","","","","","","","","TB System","l","MEDA"
"62","","LB-2_rgpwa8k04a_1g","","ssl","","2","18","","","","","","","","","","","","TB System","l","MEDA"
"63","","LB-2_rgpwa8k04a_1h","","ssl","","2","8","","","","","","","","","","","","TB System","l","MEDA"
"65","","LB-2_rgpwa8k04a_1i","","ssl","","2","12","","","","","","","","","","","","TB System","l","MEDA"
"80","","LB-2_rgpwa8k04a_1j","","ssl","","2","9","","","","","","","","","","","","TB System","l","MEDA"
"Enye-Suke","","LB-2_rgpwa8k04a_4t","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"WEEDING AND WEED CONTROL","","LB-2_rgpwa8k04a_4u","Meda","dga","","10","368","Interview","","04-08-2014","","Third Quarter Activities","Livinius Belog ( MEDA)","Weeds and Weed control","","","","","Crops, Soybeans, Agriculture","l","MEDA"
"FERTILIZER APPLICATION FOR SOYA","","LB-2_rgpwa8k04a_4v","MEDA","dga","","11","401","Interview","","04-08-2014","","Third Quarter Activities","Livinus Balog","","","","","","Crops, Soybeans, Agriculture","l","MEDA"
"INSECTS AND PEST CONTROL","","LB-2_rgpwa8k04a_4w","MEDA","dga","","10","414","Interview","","04-08-2014","","Third Quarter Activities","Livinus Balog","","","","","","Crops, Soybeans, Agriculture","l","MEDA"
"Insects and Pest Control","","LB-2_rgpwa8k04a_4x","MEDA","ssl","","8","336","Interview","","04-08-2014","","Third Quater Activities","Benjamin( Pruda)","","","","","","Crops, Soybeans, Agriculture","l","MEDA"
"Fertlizer Application For Soya","","LB-2_rgpwa8k04a_4y","MEDA","ssl","","8","387","Interview","","04-08-2014","","Third Quater Activities","Benjamin (Pruda)","","","","","","Crops, Soybeans, Agriculture","l","MEDA"
"Weeding and Weeds Control","","LB-2_rgpwa8k04a_4z","MEDA","ssl","","8","411","Interview","","04-08-2014","","Third Quater Activities","Benjamin( pruda)","","","","","","Crops, Soybeans, Agriculture","l","MEDA"
"PREPARATION AND CONSUMPTION OF GREEN-LEAFY VEGETABLES","","LB-2_rgpwa8k04a_50","MEDA","dga","","11","532","Interview","All","04-08-2014","","June-September","Beyuo Veronica","","","","","","Health, Nutrition","l","MEDA"
"Proper and Timely Hand Washing ","","LB-2_rgpwa8k04a_51","MEDA","dga","","9","741","Interview","All","04-08-2014","","","Beyou Veronica","","","","","","Health, Nutrition","l","MEDA"
"Preparation and Consumption of Green-leafy Vegetables","","LB-2_rgpwa8k04a_53","MEDA","ssl","","8","649","Interview","","04-08-2014","","","Rahida( Pruda)","","","","","","Health, Nutrition","l","MEDA"
"Consumption of Iron Rich Vegatables agains Anameia","","LB-2_rgpwa8k04a_54","MEDA","ssl","","9","1943","Interview","","04-08-2014","","","Beyuo Veronica","","","","","","Health, Nutrition","l","MEDA"
"PROPER AND TIMELY HAND WASHING","","LB-2_rgpwa8k04a_55","MEDA","ssl","","6","846","Interview","","04-08-2014","","","Beyuo Veronica","","","","","","Health, Nutrition","l","MEDA"
"Consumption of Iron Rich Vegatables agains Anameia","","LB-2_rgpwa8k04a_56","MEDA","dga","","9","1033","Interview","","04-08-2014","","","Veronica Beyuo","","","","","","Health, Nutrition","l","MEDA"
"BAALABASUMO-KARNI","","LB-2_vbg61ul19e_18","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"BALNANG-KUNGUOL","","LB-2_vbg61ul19e_19","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"BESINGTI-HAKYEGUAGN","","LB-2_vbg61ul19e_1a","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"BONYEA-KETUO","","LB-2_vbg61ul19e_1b","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"CHRISTAINS MOTHERS MEMBERS-UL-KPONG","","LB-2_vbg61ul19e_1c","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"DOOLAA-GYANVUURI","","LB-2_vbg61ul19e_1d","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"E-NYE 2-TUOPARE","","LB-2_vbg61ul19e_1e","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"E-NYE- LYSSAH","","LB-2_vbg61ul19e_1f","","dga","","3","2","","","","","","","","","","","","Communities","l","MEDA"
"E-NYE-NAMDOMKPEE","","LB-2_vbg61ul19e_1g","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"E-NYE-SAMUO GBAL","","LB-2_vbg61ul19e_1h","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"E-NYE-TARPOMO","","LB-2_vbg61ul19e_1i","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"E-NYE-TOKUU","","LB-2_vbg61ul19e_1j","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"E-NYE-UL-TAMPOE","","LB-2_vbg61ul19e_1k","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"GUTITER-TOM","","LB-2_vbg61ul19e_1l","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"IKAA - MONYUPELLE","","LB-2_vbg61ul19e_1m","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"IKAANYE-SUKE","","LB-2_vbg61ul19e_1n","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Inye-Ketuo","","LB-2_vbg61ul19e_1o","","dga","","3","2","","","","","","","","","","","","Communities","l","MEDA"
"KANYIR 1 -SAMUO","","LB-2_vbg61ul19e_1p","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Kanyir-Dondometeng","","LB-2_vbg61ul19e_1q","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Kateming-inye-Kpare","","LB-2_vbg61ul19e_1r","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"KATI-ENYE-KARNI","","LB-2_vbg61ul19e_1s","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Katiming-enye","","LB-2_vbg61ul19e_1t","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"KATIMINGMONYE","","LB-2_vbg61ul19e_1u","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"KATIMINGNYOGNYE","","LB-2_vbg61ul19e_1v","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"KNAYIR-DONDOMENTENG","","LB-2_vbg61ul19e_1w","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"KUOBELANTA-KONSI","","LB-2_vbg61ul19e_1x","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"KYURUSANYUUR 2-PISIE","","LB-2_vbg61ul19e_1y","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"LAMURI-UL-KPONG","","LB-2_vbg61ul19e_1z","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"LANGBUORO-NABIRI","","LB-2_vbg61ul19e_20","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Langtaa-Domanje","","LB-2_vbg61ul19e_21","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"LANGTAA-DUMANJE","","LB-2_vbg61ul19e_22","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"LANGTAAVIELE-TOM","","LB-2_vbg61ul19e_23","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"LANGTAA-ZEBERITENG","","LB-2_vbg61ul19e_24","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"MAARONGVIELE-TOM","","LB-2_vbg61ul19e_25","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Maarongviele-Tom","","LB-2_vbg61ul19e_26","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"MWINASONG-KOGRI 2","","LB-2_vbg61ul19e_27","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"MWINETIETI-GYANVUURI","","LB-2_vbg61ul19e_28","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"MWINETIETI-KOKOLIGU","","LB-2_vbg61ul19e_29","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NAAMWINESON-TANTUO","","LB-2_vbg61ul19e_2a","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NAAMWINESONTI-NABOLGUANGN","","LB-2_vbg61ul19e_2b","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"NAAMWINESONTI-TANTUO","","LB-2_vbg61ul19e_2c","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NINBALBE-YAATENG","","LB-2_vbg61ul19e_2d","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NONGTAA-LYSSAH","","LB-2_vbg61ul19e_2e","","dga","","4","3","","","","","","","","","","","","Communities","l","MEDA"
"NULANG-NAAPAAL","","LB-2_vbg61ul19e_2f","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NULNAGFO-TANTUO","","LB-2_vbg61ul19e_2g","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NUMMO-ZUMUOPARE","","LB-2_vbg61ul19e_2h","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NUORIYEN 1-KPARE","","LB-2_vbg61ul19e_2i","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NUORIYEN 1-UL-TAMPOE","","LB-2_vbg61ul19e_2j","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"NUORIYEN 2-UL-TAMPOE","","LB-2_vbg61ul19e_2k","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"NUORIYEN-KOGRI","","LB-2_vbg61ul19e_2l","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NYOGENYE-KOKOLIGU","","LB-2_vbg61ul19e_2m","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NYOGENYE-SAMUO BGAL","","LB-2_vbg61ul19e_2n","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NYOGENYE-TANTUO","","LB-2_vbg61ul19e_2o","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NYOGENYE-UL-DANTIE","","LB-2_vbg61ul19e_2p","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"PUPIELU-DENDEE","","LB-2_vbg61ul19e_2q","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"SONZELE-LYSSAH","","LB-2_vbg61ul19e_2r","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"SUNGME-SUKE","","LB-2_vbg61ul19e_2s","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"SUNTAA-DABAGTENG","","LB-2_vbg61ul19e_2t","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"SUNTAA-KETUO","","LB-2_vbg61ul19e_2u","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"SUNTAA-KOGRI 1","","LB-2_vbg61ul19e_2v","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"SUNTAA-KONSI","","LB-2_vbg61ul19e_2w","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
