"DC_TITLE","DC_PUBLISHER","DC_IDENTIFIER","DC_SOURCE","DC_LANGUAGE","DC_RELATION","DTB_REVISION","LB_DURATION","LB_MESSAGE_FORMAT","LB_TARGET_AUDIENCE","LB_DATE_RECORDED","LB_KEYWORDS","LB_TIMING","LB_PRIMARY_SPEAKER","LB_GOAL","LB_ENGLISH_TRANSCRIPTION","LB_NOTES","LB_BENEFICIARY","LB_STATUS","CATEGORIES","QUALITY","PROJECT"
"Where to Deliver Your Child","TB0003a2","TB0003a2_F14B2F77","Mama Care","dga","","12","227","Lecture","Pregnant women","12-Sept-2012","Birth Complications Safe Delivery Infections","Last Month of Pregnancy","Madam Diana Mwinapuo","Educate Pregnant women on importance of delivering in Hopsitals","","Elaborates the advantages of delivering in a health facility or with a qualified personnel.","","","Antenatal care","l","UWR"
"Timing for Fertilizer Application in Beans, Rice,Maize & Millet","","ECH_0146_0B4BA41B","MOFA-Wa","dga","","21","221","Lecture","Farmers","12-Sept-2012","Suphate Nitrogen ","Two weeks after sowing","Mr. Alphonsus Abobo","Educate farmers on timing and importance for fertilizer application","https://www.dropbox.com/s/kshggblh2lgd4oq/Timing%20for%20fertilizer%20application%20in%20beans%2C%20rice%2C%20maize%20%26%20millet.rtf","(Note: This Message is related to Message tittled: Fertilizer application in Maize and Beans Sub categories Under Agric). Message tives specific timing for fertilizer application (ten days after sowing), the specif type of fertlizer to apply and again in five weeks. Highlights the importance of each fertlizer application","","","Planting / Sowing, Maize, Millet, Cowpeas, Rice","l","UWR"
"Skilled Delivery","","ECH_0236_6BBA4806","GHS-Wa Reg (Songs)","dga","","16","97","Song","Pregnant women","12-Sept-2012","Home Delivery Hospital Delivery","Last Month of Pregnancy","GHS-Women Group","Encourage women to deliver at Hospitals","https://www.dropbox.com/s/0t5szq7c43eeybx/skilled%20delivery.rtf","Song tells some reasons and discriptions that pose as threats to life when a woman delivers at home.","","","Antenatal care","h","UWR"
"Source of Vitamin A","","LB-2_n9b0hwt3v7_4","GHS-Wa Reg (Songs)","dga","","17","86","Song","All","12-Sept-2012","Pawpaw Red Berries Fruits ","All Year Round","GHS-Women Group","Traditional Sources of Vitamin A","https://www.dropbox.com/s/tgcxlu1m7hqcdyz/sources%20of%20Vitamin%20A.rtf","Education on some of the traditional sources of Vitamin A.","","","General Health","h","UWR"
"Signs of Malaria ","","ECH_0236_071B9A5F","ECH_0236","dga","","18","159","Interview","All","12-Sept-2012","DELETE?Cold Vomitting High Temperature ","All Year Round","Madam Esther","Educate People on Signs of Malaria","","Highlights signs of malaria","","","Malaria, General Health","l","UWR"
"Signs of at Risk Pregnancy","","ECH_0236_5BBA4806","GHS-Wa Reg ( Songs)","dga","","18","72","Song","Pregnant women","14-Sept-2012","Short woman, thin waist, young girl","Last Month of Pregnancy","GHS-Women Group.","Signs that shows at risk pregnancy.","https://www.dropbox.com/s/bnhmpeax2o1e8o7/signs%20of%20at%20risk%20pregnancy.rtf","Typical signs that shows endagered pregnancy","","","Antenatal care","h","UWR"
"Causes of ANC and Newnatal Deaths","","ECH_0236_6CBA4806","GHS-Wa Reg(Songs)","dga","","13","51","Song","Mothers","12-Sept-2012","Monsugo Blood Shortage Death ","During Pregnancy","GHS-Women Group ","Educate pregnant against Monsugo and embrace ANC","","Song about embracing ANC and advocate against the drinking of Monsugo.","","","General Health, Antenatal care","h","UWR"
"Importance of ANC","","LB-2_n9b0hwt3v7_e","GHS-Han","dga","","16","45","Lecture","Mothers","12-Sept-2012","Child Growth Child Health Food Groups ","ANC","Nurse?","Importance of ANC","https://www.dropbox.com/s/krhv6damghah0hk/importance%20of%20ANC.rtf","Short and precise importance of ANC and it's benifits to the child","","","General Health","h","UWR"
"Exclusive BreastFeeding for Six Months","","LB-2_n9b0hwt3v7_3","GHS-Wa Reg (Songs)","dga","","15","43","Song","Pregnant women","12-Sept-2012","Six Months Water Hot TZ","First Six After Delivery","GHS-Women Group","To promote exclusive breatfeeding","","Exclusive breastfeeding for the first six months","","","Antenatal care","h","UWR"
"Sowing and timing for maize,beans and soghum ","","LB-2_7w33shx8v9_19","MOFA-Radio Progress","dga","","26","2570","Interview","Farmers","14-Sept-2012","varieties,Abeyiman, Apontem, achres, seeds per hole","After first few months of rainy season","Mr.  Umar Mohamed","Educate farmers on when its too late to sow.","","Disadvantages of sowing late, importance and advantages of sowing in lines short life span varieties of maize.","","","Planting / Sowing","h","UWR"
"Breast Feeding a Child.","","LB-2_n9b0hwt3v7_c","GHS-Wa Reg.","dga","","15","799","Interview","Mothers","12-Sept-2012","Crying Hunger Position","After Delivery","Madam Esther","Teach the proper way to breastfeed a child","https://www.dropbox.com/s/szvyg8dmemaoen9/Breast%20Feeding%20a%20Child..rtf","Proper way to put the breast into the child's mouth and why some children may still be hungry after breast feeding","","","Antenatal care","h","UWR"
"Animal Traction","","LB-2_7w33shx8v9_e","MOFA-Radio Progress","dga","","20","779","Interview","Farmers","14-Sept-2012","Bullocks Donkeys Vaccination Dewormer Animal Feed cultivator rajor","During land Clearing and Before Ploughing","Mr. Alphonsus Abobo","Educate farmers on using animal traction in comparism with Tractors.","https://www.dropbox.com/s/wu05f16017tiini/animal%20traction.rtf","Comparison of using animal traction and tractors. Indicates the importance and convinence of using animals, selecting,training and keeping the animals","","","Donkeys","h","UWR"
"Caring for Goats and Sheep","TB0003a2","TB0003a2_2156B516","MOFA-Wa Regional","dga","","27","1422","Interview","Farmers","14-Sept-2012","Housing, saw-dust, wet floor, airy pen,castration, PPR","All the time","Alhaji Naa Y.O. B Saaka","Education on housing, feeding and general care for livestock","https://www.dropbox.com/s/a5hxt43r4x5glbu/Caring%20for%20Goats%20and%20Sheep.rtf","Healthy housing, feeding and common diseases for livestock. Prevention through vacination, and procedure to get help from MOFA.Selecting animals for castration.","Animal Farmers","","Sheep, Goats","l","UWR"
"Comparing and Demonstrating Old and New Farming Methods","","LB-2_7w33shx8v9_d","MOFA-Radio Progress","dga","","18","685","Interview","Farmers","14-Sept-2012","fertilizer application weeding sowing","Before the first rains","Mr. Richard","Compare old and new farming methods ","https://www.dropbox.com/s/ogmrt265we26r7t/Comparison%20%26%20Demonstration%20of%20old.rtf","Demostrate the advantages of using new farming methods and procedures.","","","General Agriculture","h","UWR"
"Roles and Services of RADU and SARI","","LB-2_bwzr4h23wl_3s","Mofa-Wa Reg","dga","","27","676","Lecture","Farmers","13-Sept-2012","Loans, Banking, Input Dealers,Marketing, Prices,Farming Groups, Account,Extension Agents, Women extension Volunteers,","All-Year-Round","My Bee","Information about roles and services provided by RADU","https://www.dropbox.com/s/2638ohiq0lgwop3/Role%20and%20services%20of%20RADU%20and%20SARI.rtf","Through education on different aspects of RADU and officers responsible. Informatin about how to assess loans, fertilizers and all farming inputs acquitions.First hand info about all a farmer needs to know in acessing different service and programs by the RADU.","","","General Livestock, General Agriculture","h","UWR"
"Disease Prevention in Poultry and Pigs","","LB-2_ifdcs046hh_4","MOFA-Jirapa","dga","","20","642","Interview","Farmers","14-Sept-2012","Tobbaco pepper , African Swine Fever","During the Dry Season","Madam Grace","Educate farmers on causes and prevention of disease in poultry and fowls.","https://www.dropbox.com/s/w8n1zetyhae56e7/Disease%20Prevention%20in%20Pigs%20and%20Poultry.rtf","Message covered courses of diseases in poultry and pigs, symptoms, prevention and treatment.","","","Chickens/Fowl, Sheep, Goats","h","UWR"
"Fertilizer Application","","TB0003e8_170DF711","MOFA-Wa Municipal","dga","","18","1256","Interview","Farmers","14-Sept-2012","NPK, Sulphate of Amonia, Organic compost, Single Super Phosphate, ","Two-three weeks after planting maize and Beans. One week before showing groundnuts.","Mr.","Timing for fertilizer application in cereals and legumes","","Timing for fertilizer application in maize, beans and groundnuts. Importance and application procedure and how to prepare organic fertilizer from animal droppings.","","","Maize, Cowpeas","l","UWR"
"Weedicides  & Weed control ","","TB0003e8_6F58EE29","MOFA-Wa(seeds unit)","dga","","17","1160","Interview","Farmers","14 -Sept-2012","Pre-emergence weedicides pendicot glyphosphate systemic chemicals contact chemicals","","Hon Omar Ibn Mohamed","Educate farmers on weedicides chemicals and weed control and crops","https://www.dropbox.com/s/w1vqcif53085s6r/weedicides%20%26%20weed%20control.rtf","Explanation on when to weed for beans, maize and millet, how to mix chemicals and weedicides for spraying, procautionary and safety procedures during spraying","","","Maintaining crops (e.g. weeding)","l","UWR"
"Disease control in livestock and paultry","","LB-2_ifdcs046hh_5","MOFA-Jirapa","dga","TB0003a2_50493EC9","20","566","Interview","Farmers","","Vacination,airborne diseases,","Before the harmattan for paultry and at the begining and end of the rain season ","Madam Grace Tang","Education on disease control practises.","https://www.dropbox.com/s/ibxm5wu8ykzctkf/disease%20control%20in%20livestock%20and%20poultry.rtf","How to care for animals during the dry season, vacination and signs of an unhealthy animal or paultry.","","","Chickens/Fowl, Sheep, Goats","h","UWR"
"Causes of Convulsion and Treatment","","LB-2_ifdcs046hh_6","GHS-Jirapa","dga","","21","543","Interview","All","12-Sept-2012","HIgh Temperature Shivering Crushing of Teeth Brain Paracetamol Cold shower","All Year","Madam Yaacenter Bamile","Causes of Treatment of Convultion","https://www.dropbox.com/s/z1l2zyrsnekoep8/causes%20of%20convulsion%20and%20treatment.rtf","Education of the causes of convultion, treatment and treatment","","","Malaria, General Health","h","UWR"
"Rearing Birds","TB0003a2","TB0003a2_50493EC9","MOFA-Wa","dga","LB-2_ifdcs046hh_5","18","1044","Interview","Farmers","12-Sept-2012","New Castle Worms Ticks Sick Bird Hen coofs Spacious Feeding","All Year Round","Naa Y.O. Saaka","","https://www.dropbox.com/s/gzneabvjjnp0jbc/rearing%20birds.rtf","(Note: Message is related to message tittle: Disease Control in Livestock and Paultry) It explains the symptons of a sick birds ( from non feeding, feeling dump etc), the common diseases of birds, causes, prevention and treatment. Explains how to prepare local feeds and where to get drugs to treat sick birds.","","","Chickens/Fowl","l","UWR"
"Malnurishment Prevention and Breastfeeding ","","LB-2_iq37c93qlt_3","GHS-Wa Reg(Songs)","dga","","22","508","Song","Mothers","13-Sept-2012","Malnurish ANC Ignorance Swollen feet White eyes Fat chicks Blotted tommy","All-Year-Round","GHS-Women Group","Educate women on Malnurishement","https://www.dropbox.com/s/lb15z2125osgjiv/malnurishment%20prevention%20and%20breastfeeding.rtf","Song Mention symtons of Malnurishement and how to prevent that.","","","General Health, Antenatal care","h","UWR"
"Crop Storage","","LB-2_ifdcs046hh_7","MOFA-Jirapa","dga","","19","505","Interview","Farmers","12-Sept-2012","Phostoxin Tripple Bags Barns Atalyk","Around Harvesting ( Sep-Nov)","Madam Grace","Educate farmer on storing crops with chemicals","https://www.dropbox.com/s/vvt6eom6bqmlgv9/Crop%20Storage.rtf","Explained different ways of storage and how to store crops with chemicals","","","Storing","h","UWR"
"Treatment of Diarrhoea","","LB-2_n9b0hwt3v7_a","GHS-Wa Mun","dga","","19","506","Interview","All","12-Sept-2012","Regular Toilet ORS Electrolytes Mashed TZ","","Madam Esther","Education on diarrhoea treatment","https://www.dropbox.com/s/jgos1tbfkdigges/Treatment%20of%20Diarrhoea.rtf","Highlights what one should do on the suspicion of diarrhoea and how to treat it.","","","General Health","l","UWR"
"Causes, Signs and Treatment of Cholera","","LB-2_iq37c93qlt_4","GHS-Wa Reg (Songs)","dga","","16","497","Song","All","12-Sept-2012","Deadly Flies Dirt Dirty Water Vomitting","All Year Round","GHS-Women Groups","","","How you can contract cholera and prevention","","","Hygiene and sanitation","h","UWR"
"Breastfeeding and General Child Health.","","LB-2_n9b0hwt3v7_b","GHS-Wa Mun","dga","","13","474","Interview","Mothers","12-Sept-2012","Exclusive Six months Dirt Colestrol Placenter Vitamin A","12-Sept-2012","Madam Esther","","","Exlusive breastfeeding, importance and benifits to the mother and child","","","General Health, Antenatal care","h","UWR"
"Seeds Acquisition","","TB0003e8_0B6B0E91","MOFA-Wa","dga","","15","912","Interview","Farmers","12-Sept-2012","Germination test Hybrid Quality Protein Maize","Before Land Preparation and first rains","Mr. Alphonsus Abobo","Where and how to acquire good seeds for sowing","https://www.dropbox.com/s/6vqm3vhqagj20fo/Seeds%20Acquisition.rtf","(Note: This message is related to message tittle:Good seed selection) Where to get good seeds, why a farmer must use certified seeds and the hybrid seeds.","","","Planting / Sowing","l","UWR"
"Effects ANC Non-Attandance","","LB-2_iq37c93qlt_2","GHS-Wa Reg (Songs)","dga","","17","437","Song","Pregnant women","12-Sept-2012","Early ANC Monsugo Blood Dawadawa Meat Fish","During Pregnancy","GHS-Women Group","Educating women on proper care during pregnancy","https://www.dropbox.com/s/v0bix112csca2eq/effects%20of%20ANC%20non%20attendance.rtf","What women need to eat, do and not do during pregnancy.","","","Antenatal care","h","UWR"
"Important Guide-line on Rearing Livestock","","LB-2_n9b0hwt3v7_i","MOFA-Wa","dga","","19","427","Lecture","Farmers","12-Sept-2012","Castration Colestrol Tick Pests Records keeping Straw Saw Dust","All Year Round","Naah Y.O.D Saaka","How to take proper care of livestock","","Educative information about housing, feeding, elimation of bad breeds, records keeping and details about records keeping(births, death etc) and Identification marks","","","General Livestock, Sheep, Goats, Cows","h","UWR"
"Functions of Animal Prod. Dept.","","LB-2_bwzr4h23wl_3n","MOFA- Wa","dga","","18","403","Lecture","Farmers","12-Sept-2012","Technology Desermination Cross-Breeding Research  Marketing Nugua farms","All Year Round","Naah Y.O.D Saaka","Educate Farmers on activities and function of the Animal Prod Unit Dept","https://www.dropbox.com/s/degxkc7vat2h0x6/Functions%20of%20Animal%20Prod.%20Dept..rtf","Details about functions and activities of the Animal Production Unit Department such as Administrative responsiblities that has to do with rearing of animals, disease control, feeding, Research and Technology desermination. Also gives information about the specialist stations at Nungua, Kintampo and Baabile for different animal research studies.","","","General Livestock","h","UWR"
"First Quarter Activities Timeline","","LB-2_n9b0hwt3v7_h","MOFA-Jirapa","dga","","22","315","Lecture","Farmers","12-Sept-2012","Ridges Sloppy farm Drought","First quarter of the year around ( Jan-May)","Madam Grace Tang","Educate farmers on the timeline of quartely activities","https://www.dropbox.com/s/kze7594rdjop5a4/first%20quater%20activities%20timeline.rtf","Highlights on land preparation, sowing, fertlizer application, weeding including the timing and regulation for each activity","","","Preparing land for the growing season, Planting / Sowing, General Agriculture","h","UWR"
"Manure Preparation","","LB-2_ifdcs046hh_8","MOFA-Jirapa","dga","","19","318","Interview","Farmers","12-Sept-2012","Organic Fertilizer Animal Droppings Stalks from Farm Compost","All Year Round","Madam Grace Tang","How to make compost/organic fertilizer","https://www.dropbox.com/s/jk3r8cqoscynzmg/manure%20preparation.rtf","Direction on how to make compost fertlizer using waste, farm stalks and how to make it.The difference between organic and inorganic fertlilizer gave precaution not to burn farm straws but use them for compost","","","Preparing land for the growing season, General Agric Process, General Agriculture","h","UWR"
"Pre/Post Harvest Losses Prevention","","LB-2_ifdcs046hh_9","MOFA-Jirapa","dga","","19","310","Interview","Farmers","12-Sept-2012","Storage Rodents Tripple Bags","Before Harvesting and Storage","Madam Grace Tang","Education on preventing Pre/Post harvest Losses","https://www.dropbox.com/s/qgh3e6k7qb109cm/pre%20post%20Harvest%20losses%20Prevention.rtf","Highlighted the causes of Pre/Post harvest Losses, and how to prevent it.","","","Harvesting","h","UWR"
"Effects of Alchoholism","","LB-2_iq37c93qlt_1","GHS-Wa Reg(Songs)","dga","","17","308","Song","All","12-Sept-2012","Ulcer Poverty Hunger Swollen Chicks and feet","All Year Round","GHS-Women Group","Bad effects of Alcoholism","","Effects of Alcoholism to oneself, family and society","","","General Health","h","UWR"
"nutrition","","LB-2_n9b0hwt3v7_j","","dga","","3","260","","","","","","","","","","","","General Health","h","UWR"
"Causes of Common Cold in the Rainy Season","ECH_0172","H_0172_DF495442","Ving-Ving-Jirapa ","dga","","3","307","","","2013-07-20","","2013-03:0091","HH Rotation 0:Day 11","","","","","","General Health","l","UWR"
"Selecting viable seeds and germination test","","LB-2_uy1lpedkm6_x","","dga","","4","482","","","","","","","","https://www.dropbox.com/s/fsngilcept7h4at/selecting%20viable%20seeds%20and%20germination%20test.rtf","","","","Planting / Sowing","l","UWR"
"Signs & Symptoms of an Un-Healthy Newborn","","LB-2_uy1lpedkm6_y","","dga","","3","348","","","","","","","","","","","","Neonatal care","l","UWR"
"Sowing-Better ways of sowing and spacing","","LB-2_uy1lpedkm6_z","","dga","","4","578","","","","","","","","https://www.dropbox.com/s/eykth5devxrilhp/sowing%20better%20ways%20of%20sowing%20and%20spacing.rtf","","","","Planting / Sowing","l","UWR"
"Animals and Poultry Housing and DiseasesControl","","LB-2_uy1lpedkm6_10","","dga","","6","807","","","","","","","","https://www.dropbox.com/s/vmz60yiukkefq19/animals%20and%20poultry%20housing%20and%20disease%20control.rtf","","","","General Livestock","l","UWR"
"Land preparation-Using best methods, ridges,mounds, ploughing and beds","","LB-2_uy1lpedkm6_11","","dga","","4","540","","","","","","","","https://www.dropbox.com/s/eibxvfqo2kqr1fw/Land%20preparation%20%20Using%20best%20methods%20%20ridges%20mounds%20%20%20ploughing%20and.rtf","","","","Preparing land for the growing season","l","UWR"
"Malaria-Proper ways of using bednets and controlling malaria in homes","","LB-2_uy1lpedkm6_12","","dga","","4","734","","","","","","","","https://www.dropbox.com/s/ngvgn3jv659yt22/Malaria-Proper%20ways%20of%20using%20bednets%20and%20controlling%20malaria%20in%20homes.rtf","","","","Malaria","l","UWR"
"Malnourishment Prevention and Breastfeeding","","LB-2_uy1lpedkm6_13","","dga","","3","507","","","","","","","","","","","","Neonatal care","l","UWR"
"Baazu-JIrapa","","LB-2_uy1lpedkm6_1i","","dga","","4","2","","","","","","","","","","","","Communities","l","UWR"
"Behee-Wa Municipal","","LB-2_uy1lpedkm6_1j","","dga","","4","2","","","","","","","","","","","","Communities","l","UWR"
"Die-JIrapa","","LB-2_uy1lpedkm6_1k","","dga","","8","2","","","","","","","","","","","","Communities","l","UWR"
"Duori Degri-JIrapa","","LB-2_uy1lpedkm6_1l","","dga","","4","2","","","","","","","","","","","","Communities","l","UWR"
"Gozu-JIrapa","","LB-2_uy1lpedkm6_1m","","dga","","4","2","","","","","","","","","","","","Communities","l","UWR"
"Gyangvuuri-JIrapa","","LB-2_uy1lpedkm6_1n","","dga","","4","2","","","","","","","","","","","","Communities","l","UWR"
"Jeffiri-JIrapa","","LB-2_uy1lpedkm6_1o","","dga","","4","2","","","","","","","","","","","","Communities","l","UWR"
"Jonga-Wa Municipal","","LB-2_uy1lpedkm6_1p","","dga","","4","2","","","","","","","","","","","","Communities","l","UWR"
"Nyeni-JIrapa","","LB-2_uy1lpedkm6_1q","","dga","","4","2","","","","","","","","","","","","Communities","l","UWR"
"Saabaalong-JIrapa","","LB-2_uy1lpedkm6_1r","","dga","","4","3","","","","","","","","","","","","Communities","l","UWR"
"Saawie-JIrapa","","LB-2_uy1lpedkm6_1s","","dga","","5","2","","","","","","","","","","","","Communities","l","UWR"
"Tugo Yagra-JIrapa","","LB-2_uy1lpedkm6_1t","","dga","","4","2","","","","","","","","","","","","Communities","l","UWR"
"Ul-Kpong-JIrapa","","LB-2_uy1lpedkm6_1u","","dga","","4","2","","","","","","","","","","","","Communities","l","UWR"
"Ving Ving-JIrapa","","LB-2_uy1lpedkm6_1v","","dga","","4","3","","","","","","","","","","","","Communities","l","UWR"
"Yibile-JIrapa","","LB-2_uy1lpedkm6_1w","","dga","","4","2","","","","","","","","","","","","Communities","l","UWR"
"Zengpeni-JIrapa","","LB-2_uy1lpedkm6_1x","","dga","","5","2","","","","","","","","","","","","Communities","l","UWR"
"Battery issues","","LB-2_uy1lpedkm6_1b","","dga","","3","393","","","","","","","","","","","","Environment","l","UWR"
"General Guidelines for Caring for Farm Animals","","LB-2_ew55xgiqyp_1","","dga","","5","50","Lecture","","","","","","","","","","","General Livestock","l","UWR"
"2009-Gladys Health Message on ANC","","LB-2_fz02ma8nab_1","GHS-Jirapa","dga","","7","910","Lecture","","2009","","","","","","","","","Antenatal care","h","UWR"
"2009-Hain Clinic 1","","LB-2_fz02ma8nab_2","GHS-Han","dga","","13","94","Lecture","","2009","hlfgjkk;lkjhghh","","","","","","","","General Health","h","UWR"
"2009-Hain Clinic 3","","LB-2_fz02ma8nab_4","GHS-Han","dga","","15","80","Lecture","","2009","","","","","","","","","General Health","h","UWR"
"2009-Hain Clinic 4","","LB-2_fz02ma8nab_5","GHS-Han","dga","","9","28","Lecture","","2009","","","","","","","","","General Health","h","UWR"
"2009-Hain Clinic 5","","LB-2_fz02ma8nab_6","GHS-Han","dga","","9","174","Lecture","","2009","","","","","","","","","General Health","h","UWR"
"2009-Hain Clinic 6","","LB-2_fz02ma8nab_7","GHS-Han","dga","","7","180","Lecture","","2009","","","","","","","","","General Health","h","UWR"
"2009-Hain Clinic 7","","LB-2_fz02ma8nab_8","GHS-Han","dga","","9","167","Lecture","","2009","","","","","","","","","General Health","h","UWR"
"2009-Hain Clinic 8","","LB-2_fz02ma8nab_9","GHS-Han","dga","","9","1656","Lecture","","2009","","","","","","","","","General Health","h","UWR"
"2009-Under 5 Mortality Issues","","LB-2_fz02ma8nab_d","GHS-Jirapa","dga","","12","421","Lecture","","2009","","","Gladys?","","https://www.dropbox.com/s/15yqh4p7trsmpif/2009-Under%205%20Mortality%20Issues.rtf","","","","General Health","h","UWR"
"33alternate-If you are sure you want to remove this message, press the black circle","TB0001ca","TB0001ca_36293AD3","Zengpeni-Jirapa","dga","","2","5","","","","","","","","","","","","TB Categories","l","UWR"
"63alternate-To answer a survey question about this message, press the black circle","TB0001ca","TB0001ca_443B66A3","Zengpeni-Jirapa","dga","","2","7","","","","","","","","","","","","TB Categories","l","UWR"
"65alternate-To record your own ideas about this message, press the black circle","TB0001ca","TB0001ca_775AA875","Zengpeni-Jirapa","dga","","2","8","","","","","","","","","","","","TB Categories","l","UWR"
"26alternate-There are many things you can do with each message. You can remove it, give your opinion about it or take a survey. To do any of these, press the black circle","TB0001ca","TB0001ca_E8815215","Zengpeni-Jirapa","dga","","2","16","","","","","","","","","","","","TB Categories","l","UWR"
"ANC_reason for ANC","","LB-2_x6g9tv0p3e_l","GHS-Wa Reg (Songs)","dga","","8","70","Song","Pregnant women","","","","GHS-Women Group","","","","","","Antenatal care","l","UWR"
"Warning to pregnant women who refuses to attend ANC","","LB-2_x6g9tv0p3e_m","GHS-Wa Reg (Songs)","en","","11","205","Song","Pregnant women","","","","GHS-Women Group","","","","","","Antenatal care","l","UWR"
"01 Track 1","","LB-2_x6g9tv0p3e_n","GHS-Wa Reg (Songs)","dga","","9","205","Song","Pregnant women","01-June-2013","ANC, Balanced Diet.","","GHS-Women Group","","","","","","Antenatal care","l","UWR"
"Advice on ANC:Effects and Benifits","","LB-2_x6g9tv0p3e_o","GHS-Wa Reg (Songs)","dga","","16","437","Song","Pregnant women","01-June-2013","ANC, Balanced Diet, Yellow fever, Meassels","During pregnancy and after delivery","GHS-Women Group","","","","Pregnant women, New born babies","","Antenatal care","l","UWR"
"ANC benefit","","LB-2_x6g9tv0p3e_p","GHS-Wa Reg (Songs)","dga","","7","163","Song","Pregnant women","","","","GHS-Women Group","","","","","","Antenatal care","l","UWR"
"ANC early attendance","","LB-2_x6g9tv0p3e_q","GHS-Wa Reg (Songs)","en","","10","81","Song","Pregnant women","","","","GHS-Women Group","","","","","","Antenatal care","l","UWR"
